state,year,funds_central_share,funds_release_amount,funds_state_allocation,funds_total_including_tpf,funds_total_including_tpf_ci_lower,funds_total_including_tpf_ci_upper,funds_total_including_tpf_ci_method
Andhra Pradesh,2011,,,,154.406,-3.99,242.79,t-distribution
Andhra Pradesh,2012,,,,404.8904,-3.99,242.79,t-distribution
Andhra Pradesh,2013,,,211.78,211.7804,-3.99,242.79,t-distribution
Andhra Pradesh,2014,,,184.14,184.141,-3.99,242.79,t-distribution
Andhra Pradesh,2015,,,0.0,0.0,-3.99,242.79,t-distribution
Andhra Pradesh,2018,217.992,,,0.0,-3.99,242.79,t-distribution
Andhra Pradesh,2019,114.48,,,0.0,-3.99,242.79,t-distribution
Andhra Pradesh,2020,266.51,,,0.0,-3.99,242.79,t-distribution
Arunachal Pradesh,2011,,,,236.7857,340.94,601.68,t-distribution
Arunachal Pradesh,2012,,,,420.0872,340.94,601.68,t-distribution
Arunachal Pradesh,2013,,,,737.0405000000001,340.94,601.68,t-distribution
Arunachal Pradesh,2014,,,,658.4259999999999,340.94,601.68,t-distribution
Arunachal Pradesh,2015,,,,429.539,340.94,601.68,t-distribution
Arunachal Pradesh,2018,929.762,,,429.539,340.94,601.68,t-distribution
Arunachal Pradesh,2019,846.31,,,429.539,340.94,601.68,t-distribution
Arunachal Pradesh,2020,803.76,,,429.539,340.94,601.68,t-distribution
Assam,2011,,,,947.5088,822.79,1512.31,t-distribution
Assam,2012,,,,373.894,822.79,1512.31,t-distribution
Assam,2013,,,,807.9825,822.79,1512.31,t-distribution
Assam,2014,,,,1509.389,822.79,1512.31,t-distribution
Assam,2015,,,,1425.413,822.79,1512.31,t-distribution
Assam,2018,1919.624,,,1425.413,822.79,1512.31,t-distribution
Assam,2019,2198.76,,,1425.413,822.79,1512.31,t-distribution
Assam,2020,2513.9,,,1425.413,822.79,1512.31,t-distribution
Bihar,2011,,,,172.193,204.74,290.09,t-distribution
Bihar,2012,,,,311.064,204.74,290.09,t-distribution
Bihar,2013,,,,284.773,204.74,290.09,t-distribution
Bihar,2014,,,,317.096,204.74,290.09,t-distribution
Bihar,2015,,,,223.55051,204.74,290.09,t-distribution
Bihar,2018,570.897,,,223.55051,204.74,290.09,t-distribution
Bihar,2019,562.84,,,223.55051,204.74,290.09,t-distribution
Bihar,2020,628.89,,,223.55051,204.74,290.09,t-distribution
Chhattisgarh,2011,,,,702.726,399.35,595.76,t-distribution
Chhattisgarh,2012,,,,532.4624,399.35,595.76,t-distribution
Chhattisgarh,2013,,,,539.6379999999999,399.35,595.76,t-distribution
Chhattisgarh,2014,,,,609.827,399.35,595.76,t-distribution
Chhattisgarh,2015,,,,398.945,399.35,595.76,t-distribution
Chhattisgarh,2018,536.135,,,398.945,399.35,595.76,t-distribution
Chhattisgarh,2019,358.53,,,398.945,399.35,595.76,t-distribution
Chhattisgarh,2020,471.16,,,398.945,399.35,595.76,t-distribution
Jharkhand,2011,,,,156.3465,45.98,180.51,t-distribution
Jharkhand,2012,,,,107.44023,45.98,180.51,t-distribution
Jharkhand,2013,,,,251.168,45.98,180.51,t-distribution
Jharkhand,2014,,,,199.08,45.98,180.51,t-distribution
Jharkhand,2015,,,,47.9847,45.98,180.51,t-distribution
Jharkhand,2018,367.0,,,47.9847,45.98,180.51,t-distribution
Jharkhand,2019,1432.07,,,47.9847,45.98,180.51,t-distribution
Jharkhand,2020,128.453,,,47.9847,45.98,180.51,t-distribution
Karnataka,2011,,,,1830.6496,1209.33,1747.62,t-distribution
Karnataka,2012,,,,933.5311,1209.33,1747.62,t-distribution
Karnataka,2013,,,,1985.0698,1209.33,1747.62,t-distribution
Karnataka,2014,,,,1565.7726,1209.33,1747.62,t-distribution
Karnataka,2015,,,,1378.1944,1209.33,1747.62,t-distribution
Karnataka,2018,2267.428,,,1378.1944,1209.33,1747.62,t-distribution
Karnataka,2019,2252.03,,,1378.1944,1209.33,1747.62,t-distribution
Karnataka,2020,2118.005,,,1378.1944,1209.33,1747.62,t-distribution
Kerala,2011,,,,429.77,395.44,486.62,t-distribution
Kerala,2012,,,,514.835,395.44,486.62,t-distribution
Kerala,2013,,,,479.672,395.44,486.62,t-distribution
Kerala,2014,,,,517.5351,395.44,486.62,t-distribution
Kerala,2015,,,,396.601,395.44,486.62,t-distribution
Kerala,2018,653.03,,,396.601,395.44,486.62,t-distribution
Kerala,2019,607.0699999999999,,,396.601,395.44,486.62,t-distribution
Kerala,2020,402.88,,,396.601,395.44,486.62,t-distribution
Madhya Pradesh,2011,,,,5162.7112,1578.04,4859.55,t-distribution
Madhya Pradesh,2012,,,,5772.3638,1578.04,4859.55,t-distribution
Madhya Pradesh,2013,,,,4796.138,1578.04,4859.55,t-distribution
Madhya Pradesh,2014,,,,4335.1182,1578.04,4859.55,t-distribution
Madhya Pradesh,2015,,,,1421.007,1578.04,4859.55,t-distribution
Madhya Pradesh,2018,5343.889999999999,,,1421.007,1578.04,4859.55,t-distribution
Madhya Pradesh,2019,3501.91,,,1421.007,1578.04,4859.55,t-distribution
Madhya Pradesh,2020,2551.26,,,1421.007,1578.04,4859.55,t-distribution
Maharashtra,2011,,,,3341.5235,2198.12,3875.29,t-distribution
Maharashtra,2012,,,,616.3911499999999,2198.12,3875.29,t-distribution
Maharashtra,2013,,,,3021.6923,2198.12,3875.29,t-distribution
