landscape,state,year,population,source_file,has_conflict,was_imputed,population_imputed,imputation_method,population_ci_lower,population_ci_upper,population_ci_method
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Andhra Pradesh,2006,95.0,tiger_population_06-18,False,False,95.0,none,48.03,90.37,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Andhra Pradesh,2010,72.0,tiger_population_06-18,False,False,72.0,none,48.03,90.37,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Andhra Pradesh,2014,68.0,tiger_population_06-18,False,False,68.0,none,48.03,90.37,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Andhra Pradesh,2018,48.0,tiger_population_06-18,False,False,48.0,none,48.03,90.37,t-distribution
Unknown,Andhra Pradesh,2022,63.0,tiger_population_2022,False,False,63.0,none,48.03,90.37,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Arunachal Pradesh,2006,14.0,tiger_population_06-18,False,False,14.0,none,9.4,31.0,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Arunachal Pradesh,2010,21.0,tiger_population_06-18,False,True,21.0,linear,9.4,31.0,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Arunachal Pradesh,2014,28.0,tiger_population_06-18,False,False,28.0,none,9.4,31.0,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Arunachal Pradesh,2018,29.0,tiger_population_06-18,False,False,29.0,none,9.4,31.0,t-distribution
Unknown,Arunachal Pradesh,2022,9.0,tiger_population_2022,False,False,9.0,none,9.4,31.0,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Assam,2006,70.0,tiger_population_06-18,False,False,70.0,none,86.08,233.52,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Assam,2010,143.0,tiger_population_06-18,False,False,143.0,none,86.08,233.52,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Assam,2014,167.0,tiger_population_06-18,False,False,167.0,none,86.08,233.52,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Assam,2018,190.0,tiger_population_06-18,False,False,190.0,none,86.08,233.52,t-distribution
Unknown,Assam,2022,229.0,tiger_population_2022,False,False,229.0,none,86.08,233.52,t-distribution
Shivalik-Gangetic Plain Landscape Complex,Bihar,2006,10.0,tiger_population_06-18,False,False,10.0,none,3.03,49.37,t-distribution
Shivalik-Gangetic Plain Landscape Complex,Bihar,2010,8.0,tiger_population_06-18,False,False,8.0,none,3.03,49.37,t-distribution
Shivalik-Gangetic Plain Landscape Complex,Bihar,2014,28.0,tiger_population_06-18,False,False,28.0,none,3.03,49.37,t-distribution
Shivalik-Gangetic Plain Landscape Complex,Bihar,2018,31.0,tiger_population_06-18,False,False,31.0,none,3.03,49.37,t-distribution
Unknown,Bihar,2022,54.0,tiger_population_2022,False,False,54.0,none,3.03,49.37,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Chhattisgarh,2006,26.0,tiger_population_06-18,False,False,26.0,none,12.55,41.05,t-distribution
