year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Mizoram,Odisha,Rajasthan,Sundarbans,Tamil Nadu,Telangana,Uttar Pradesh,Uttarakhand,West Bengal
2006,95,14,70,10,26,41,290,46,300,103,6,45,32,70,76,166,109,178,10
2007,85,18,77,10,29,26,241,39,258,94,5,37,33,60,69,138,89,144,13
2008,95,8,79,10,9,14,290,46,300,103,3,22,32,45,76,112,109,178,3
2009,80,18,116,9,24,13,262,50,253,125,5,31,34,62,105,146,101,173,9
2010,72,21,143,8,26,10,300,71,257,169,5,32,36,70,163,166,118,227,0
2011,63,22,134,11,30,7,283,77,241,158,4,28,35,65,165,150,106,226,8
2012,66,28,137,17,42,7,302,90,253,163,4,31,40,68,181,152,103,244,11
2013,63,24,149,22,38,4,345,110,267,167,3,26,38,68,200,154,106,286,4
2014,68,28,167,28,46,3,406,136,308,190,3,28,45,76,229,166,117,340,3
2015,58,25,166,27,37,2,422,147,325,199,2,24,45,73,228,136,121,356,0
2016,52,26,175,28,29,2,465,166,386,234,1,24,52,78,241,94,140,389,0
2017,48,27,183,29,21,4,502,181,458,275,1,26,61,83,253,50,160,417,0
2018,48,29,190,31,19,5,524,190,526,312,0,28,69,88,264,26,173,442,0
2019,51,28,198,35,17,5,540,197,590,346,0,26,76,92,275,19,182,469,0
2020,55,25,208,41,14,5,553,203,655,380,0,21,82,97,286,15,191,498,0
2021,57,16,220,47,8,3,565,211,724,414,0,15,85,98,298,11,201,534,0
2022,63,9,229,54,17,1,563,213,785,444,0,20,88,104,306,21,205,560,0
2023,67,0,239,62,25,0,554,216,847,472,0,38,88,100,313,37,208,592,0
2024,65,0,251,70,20,0,538,220,914,501,0,46,81,95,319,58,211,640,0
2025,77,0,260,80,35,0,508,218,982,531,0,17,82,96,327,111,207,673,0
2026,88,0,268,90,50,0,462,215,1049,559,0,0,81,94,333,182,200,709,0
2027,103,0,272,100,67,0,398,207,1110,584,0,0,79,93,337,276,187,742,0
2028,120,0,273,111,90,0,316,197,1170,607,0,0,77,91,340,396,169,774,0
2029,142,0,270,121,117,0,216,182,1227,628,0,0,76,89,342,545,145,804,0
2030,167,0,264,131,151,0,96,164,1280,647,0,0,75,87,343,724,115,832,0
